company,country,website,description,source,public_contact
Quality RA,Netherlands,https://www.qualityra.nl/,"Quality RA is a small consultancy firm with experience in the fields of recombinant proteins, cell and gene therapy, monoclonal antibodies, and viral vaccines. The company provides advice on Regulatory Affairs (RA) and/or Chemistry Manufacturing & Controls (CMC) in the Pharmaceutical and Biotech industry.",SimplerQMS,
LAP&P Consultants,Netherlands,https://lapp.nl/,LAP&P is a consulting company that provides Modelling and Simulation (M&S) services to support decision making in Drug Discovery and Drug Development for Pharmaceutical and Biotechnological companies. The firm offers consulting services in the field of Quantitative Pharmacology to answer questions that arise during the Discovery and Development phases in a quantitative way. Recommended Reading: Key Focus Areas When Selecting Pharmaceutical Consultant In case you would like to give us your input on the list above or would like to see your consulting company be featured among the other Pharmaceu,SimplerQMS,
KEY2COMPLIANCE,Sweden,https://key2compliance.com/,"KEY2COMPLIANCE specializes in Regulatory Affairs, Quality Assurance, Biological Evaluations and Toxicology, and Clinical Development services specifically for Medical Device Companies for companies involved in the development, manufacturing and beyond. The firm also offers programs for Training and Education for both Pharmaceuticals and Medical device products throughout the full product life cycle.",SimplerQMS + SimplerQMS,
Clarvin,Sweden,https://clarvin.com/,Clarvin is a consulting firm focused exclusively on Regulatory Affairs and Quality Assurance for Medical Devices. The firm has extensive experience with EU and US medical device regulations and aims to create value for its clients by providing customized strategic input to the company´s regulatory compliance scheme.,SimplerQMS,
Scandinavian CRO,Sweden,https://scro.se/,"Scandinavian CRO is a full-service Contract Research Organisation offering both consultancy and specific, stand-alone services. The company performs complete studies or parts of projects within the field of clinical trials for both Pharmaceuticals and Medical Device. When hiring a consultant from Scandinavian CRO, you can choose between specialists, like project managers, clinical research associates, administrators, and research nurses.",SimplerQMS + SimplerQMS,
Scandinavian Regulatory Services (SRS),Sweden,https://www.srs.se/,"Scandinavian Regulatory Services AB (SRS) is a consultancy company offering regulatory expertise and services to the Medical Device, Pharmaceutical, and associated industries. SRS has a team of Regulatory Affairs and Quality Systems specialists with extensive experience from all different aspects of Regulatory Affairs and Quality covering a wide range of products.",SimplerQMS + SimplerQMS,
SDS MedteQ,Sweden,https://sdsmedteq.com/,"SDS MedteQ provides consultancy services within the Medical Device field. The company specializes primarily within areas like Regulatory affairs, Registration/Submission, Quality Assurance, QMS Development, Technical Documentation, Gap Analyses, Biocompatibility, Statistics, and Project Management.",SimplerQMS,
PlantVision,Sweden,https://www.plantvision.se/,"PlantVision helps Life Science companies transform manufacturing, laboratory, and quality operations using a customer-centric, integrated approach. For this, the firm provides consulting and professional services together with the market’s most complete range of industry-leading solutions in this area of Life Science.",SimplerQMS + SimplerQMS,
QARA Consulting,Sweden,https://www.qaraconsulting.se/,"QARA Consulting is a consultancy company with a team of senior, expert consultants supporting clients in the Medical Device industry. The firm offers a complete range of multidisciplinary quality and regulatory services from initial device classification, technical file writing, and clinical evaluations, to post-market surveillance.",SimplerQMS,
RegSmart Life Science,Sweden,https://regsmart.se/,"RegSmart Life Science is a regulatory consultancy firm that helps Medical Device and Pharmaceutical companies navigate in a complex and evolving regulatory landscape. With long regulatory and scientific experience from senior roles at the regulatory agency and from small and big Life Science companies, the firm can build your regulatory strategy in line with current thinking.",SimplerQMS + SimplerQMS,
QAdvis,Sweden,https://www.qadvis.com/,"QAdvis is a longstanding provider of Quality and System Management, Risk Management, Compliance, Training, Interim Management, and Regulatory Affairs. Offering a thorough knowledge and understanding of the Medical Device industry, based on 30 years of professional experience, QAdvis has the tools to help take MedTech innovations to domestic and international markets.",SimplerQMS,
Scientific Solutions Scandinavia,Sweden,http://www.scientificsolutions.se/english/,"Scientific Solutions Scandinavia specializes in management and specialist roles mainly within Regulatory and Medical Affairs, QA, PV, and Compliance. The firm provides clients with customized solutions of scientific professionals – temporary, permanent, or somewhere in between and is passionate about matching company needs with individual experience, personality, and commitment.",SimplerQMS + SimplerQMS,
MedQtech,Sweden,https://www.medqtech.se/,MedQtech is a consulting company with experienced professionals with high competence who support customers in the Medical Device industry within areas like Quality and Regulatory compliance. The firm can support you in writing specific processes or implementing a full Quality Management System. It also provides customized training within the regulatory and quality field in the Medical Device Industry.,SimplerQMS,
Pharm Assist,Sweden,https://www.pharmassist.se/,"Pharm Assist is a consultant and service company offering regulatory solutions for Medical Device and Pharmaceutical companies. The company has a team with a strong scientific and regulatory background provides tailor-made services in Regulatory Affairs, Pharmacovigilance, Medical Writing, and GDP to national and international companies.",SimplerQMS + SimplerQMS,
J.F.B Consulting,Sweden,https://www.jfb-consulting.com/,"J.F.B Consulting has a network of consultants that brings over 40 years of experience with the goal of providing Medical Device, Pharmaceutical, and Biotechnology companies with a high level of service and dedication. The firm specializes in Strategy, Sales & Marketing, Health Economy, Market Access & Pricing, Product Planning, Supply Chain Guidance. Recommended Reading: Key Focus Areas When Selecting Pharmaceutical Consultant Don’t hesitate and suggest to us a company that, in your opinion, could be featured on the list. In case you want to see your consulting firm among the best Pharmaceutic",SimplerQMS + SimplerQMS,
Fjord Consulting,Sweden,https://www.fjordconsulting.se/en-GB,"Fjord Consulting performs consulting services in the areas of Quality Management, Product Development, Project Management, Training, and Product Registrations. The main branch is within the Medical Device and the Life Science industry. The firm has consultants with more than 12 years of experience in leading positions within this area.",SimplerQMS,
Devicia,Sweden,https://devicia.com/,"Devicia provides full-service solutions and consultancy services within the Medical Device industry. The firm specializes in Quality, Regulatory, and Clinical Affairs. Therefore, it offers full-service solutions within Medical Writing, Clinical Investigation consultancy services, Regulatory Affairs, and Training modules within regulatory and clinical processes. Recommended Reading: How To Choose the Right Consultant for Your Medical Device The consulting firm list features better service providers in Sweden. Feel free to suggest a company that would be worthy to be featured on the list. Howeve",SimplerQMS,
Truly Translational Sweden,Sweden,https://www.trulytranslational.com/,"Truly Translational Sweden provides consultancy and experimental services within translational science in a tailored manner to support the Pharmaceutical and Life Science industry. The main areas of expertise for the firm are Strategic Project Planning, Pre-Clinical Development, Precision Medicine, and Business Development.",SimplerQMS,
Phase2Phase Biopharma Consulting,Sweden,https://phase2phase.com/,"Phase2Phase Biopharma Consulting provides CMC (Chemistry Manufacturing & Control) services for the Pharmaceutical and Biotech industry within the areas of Research, Development as well as Life Cycle Management of already commercialized products.",SimplerQMS,
Arex Advisor,Sweden,https://www.arexadvisor.com/,"Arex Advisor is an employee-owned company that helps Pharmaceutical companies bringing medicines to the market. Arex has a team of experts in Regulatory Affairs, Market Access, and Strategic Business Development. The firm offers strategic advice and operational expertise throughout the whole product life-cycle.",SimplerQMS,
SDS Life Science,Sweden,https://sdslifescience.com/,"Scandinavian Development Services (SDS) Life Science are specialized in regulatory and scientific knowledge in Pharmaceutical development, Medical Device, and statistics. The company provides expert advice on formulation development, planning of both clinical and non-clinical programs, as well as medicinal product development.",SimplerQMS,
Willuhn Consulting,Sweden,http://willuhn.se/,"Willuhn Consulting provides technical expertise within Pharmaceutical development and manufacturing. The consultancy firm services within areas like manufacturing and development strategies, technical investigations and problem-solving, CMO selection, contracting, and partner management, as well as CMC documentation which includes regulatory dossier writing and review.",SimplerQMS,
Nordic Market Access (NMA),Sweden,https://nordicmarketaccess.com/,"Nordic Market Access (NMA) has a long and broad experience of market access in the Nordics – in therapeutic areas from highly specialized products and rare diseases to primary care products. The firm specializes in Market Access Strategy and Portfolio, Reimbursement Submissions, Health Economics, and can also provide Market Access Training.",SimplerQMS,
Emmace Consulting,Sweden,https://www.emmace.se/,"Emmace Consulting offers services in advising and performance testing of Pharmaceutical products on a CRO-basis. Emmace Consulting has commercial experience in developing and characterizing inhaled medicinal products. Therefore, it can help customers with planning for the development of an inhaled medication, either as a new product or a generic product.",SimplerQMS,
Pharmetheus,Sweden,https://pharmetheus.com/,"Pharmetheus is a consulting firm that offers services focused on the application of quantitative approaches to support drug development decisions. The firm supports a wide variety of drug development decisions, including dose selection, developing pediatric development plans, investigating the potential risk for QTc prolongation, providing regulatory advice and more.",SimplerQMS,
Michor Consulting,Austria,https://www.michor-consulting.eu/,"From conception and strategy to post-market maintenance – Michor Consulting offers advice and training in all key areas of regulatory affairs, compliance, business organization, quality assurance, and risk and interim management.",SimplerQMS,
BioMedConsult,Austria,https://biomedconsult.at/,BioMedConsult was founded in 2006 as an independent consulting company which offers their international clients a comprehensive & high level of expertise in Life Science.,SimplerQMS,
H.M. Pharma Consultancy,Austria,https://www.hmpharmacon.com/,H.M. Pharma Consultancy is an information-driven knowledge foundry in the service of pharmaceutical and medical device business development.,SimplerQMS,
Pharmaceutical and Regulatory Services GmbH,Austria,http://www.prsg.at/,PRSG is a company that offers comprehensive services for all aspects of regulatory affairs in means of a One-Stop-Shop. They can help you identify the ideal strategic and regulatory marketability approach for your pharmaceutical product.,SimplerQMS,
"RD&C – Research, Development & Consulting",Austria,http://rdc-concepts.com/,"RD&C provides expertise and consulting for R&D projects in Life Sciences from early research to market authorization. They design, plan and manage such projects with sound expertise to guarantee optimum results and revenues.",SimplerQMS,
Drehm Pharma,Austria,https://drehm.at/en/,"Drehm Pharma offers a broad range of consultancy services to pharmaceutical companies of all sizes. They support successful product lifecycle management, ranging from the conception of a product idea through strategic planning, development, testing, registration, marketing, and quality management.",SimplerQMS,
Anapur AG,Austria,https://anapur.de/,"Over many years, Anapur has built significant know-how in the area of validation and qualification of pharmaceutical systems. They offer solutions tailored to meet your demands for reaching GMP compliance.",SimplerQMS,
Acet Pharma,Austria,https://www.acet.at/en,"Acet Pharma is a consulting company founded in 2016 by Udo Tschernuter. Acet Pharma offers support and assistance in all pharmaceutical-technical areas such as product development, manufacturing, storage, transport, quality-control, quality-assurance, regulatory documents.",SimplerQMS,
Vela Laboratories,Austria,https://www.vela-labs.at/,"VelaLabs is a world-wide acting, GMP-certified contract laboratory that offers in-depth analytical characterization services for proteins and provides consultancy services. Recommended Reading: Key Focus Areas When Selecting Pharmaceutical Consultant If you would like to tell us about other consulting firms or would like to see your consultancy be featured on the list above, just contact us . Note that every new inquiry is processed manually to ensure high relevancy of the consultancy firms that get to be on the list. Here are the lists of other Pharmaceutical consulting firms that primarily o",SimplerQMS,
DiaMed,Germany,http://www.diamed.org/de/leistungen,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
Diapharm Austria GmbH,Austria,https://at.diapharm.com/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
Diapharm GmbH & Co. KG,Germany,https://www.diapharm.com/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
Dr. Ebeling & Asso. GmbH,Germany,http://www.ebeling-assoc.com/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
Granzer Regulatory Consulting & Services,Germany,http://www.granzer.biz/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
HWI pharma services GmbH,Germany,https://hwi-group.de/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
HWI regulatory services GmbH,Germany,https://hwi-group.de/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
IQVIA Commercial GmbH & Co. OHG,Germany,https://www.iqvia.com/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
IQVIA CSMS GmbH,Germany,https://www.iqvia.com/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
IQVIA RDS GmbH,Germany,https://www.iqvia.com/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
Kohne Pharma GmbH,Germany,http://www.kohne-pharma.com/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
MedPharmTec,Germany,http://www.medpharmtec.de/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
medunit GmbH,Germany,https://www.medunit.de/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
NDA Regulatory Service GmbH,Germany,http://www.ndareg.com/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
pharmadocs e.K.,Germany,https://www.pharmadocs.de/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
Pharmalex GmbH,Germany,http://www.pharmalex.com/worldwide-locations/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
Phortas GmbH,Germany,https://www.phortas.com/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
SCRATCH Pharmacovigilance GmbH,Germany,http://www.scratch-pv.com/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
Seleon GmbH,,https://www.seleon.de/,Listed in Constares RA/Quality (DACH).,Constares (RA/Quality),
Designed by our friends atFilez,,https://filez.global/,Listed by Umbrex.,Umbrex,
Acornregulatory,,https://acornregulatory.com/,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). acornregulatory.com,EAAR,info@acornregulatory.com
Advena,,http://advena.mt,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). advena.mt,EAAR,info@advena.mt
Cmcmedicaldevices,,http://cmcmedicaldevices.com,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). cmcmedicaldevices.com,EAAR,info@cmcmedicaldevices.com
Donawa,,http://donawa.com,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). donawa.com,EAAR,medonawa@donawa.com
Medical Risk,,http://medical-risk.com,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). medical-risk.com,EAAR,info@medical-risk.com
Emergobyul,,http://emergobyul.com,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). emergobyul.com,EAAR,emergoeurope@ul.com
Iconplc,,http://iconplc.com,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). iconplc.com,EAAR,iconar@iconplc.com
Mdss,,https://mdss.com,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). mdss.com,EAAR,info@mdssar.com
Aurevia,,https://www.aurevia.com/services/quality-assurance-and-regulatory-affairs/market-registrations,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). aurevia.com,EAAR,ear@aurevia.com
Mt Procons,,http://mt-procons.com,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). mt-procons.com,EAAR,ear@mt-procons.com
Obelis,,http://obelis.net,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). obelis.net,EAAR,mail@obelis.net
Qarad,,https://qarad.com/,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). qarad.com,EAAR,info@qarad.com
Tecno Med,,http://tecno-med.es,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). tecno-med.es,EAAR,info@tecno-med.es
Eaar,,https://eaar.swoogo.com/mdr_ivdr_summit_2026/BeginRegistration,EAAR member — European Authorised Representative for medical devices (MDR/IVDR regulatory service provider). eaar.swoogo.com,EAAR,
